pronunciation,kana,kanji,meaning
hasamiyaki,はさみやき,はさみ焼き,"grilled slices of lotus root, eggplant, etc. with a filling (usu. minced meat)"
hosoku,ほそく,歩速,"walking speed, walking pace"
sasetuka,させつか,左折可,"left turn permissible"
oheso,おへそ,お臍,"navel, belly button"
atau,あたう,能う,"to be able (to do), to be capable (of doing)"
nakanimo,なかにも,中にも,"among (other things), especially, particularly, inter alia, above all (else)"
retui,れつい,劣位,"inferior position, inferior situation, disadvantage, subordination"
haturi,はつり,削り,"shaving (usu. concrete, paintwork, etc.), chipping"
mikoukai,みこうかい,未公開,"unpublished, not made public, unlisted (e.g. stock), unreleased, undisclosed"
heta,へた,厴,"operculum (of a shellfish)"
haturu,はつる,果つる,"coming to an end, dying out"
hatu,はつ,果つ,"to end, to be finished, to be exhausted"
kireime,きれいめ,きれい目,"neater (clothing, appearance, etc.), sharper, more businesslike, more formal, more put-together"
tawayaka,たわやか,撓やか,"flexible, pliant, pliable, supple, bendy"
osinokeyouseki,おしのけようせき,押しのけ容積,"displacement volume, displacement"
kotowarenai,ことわれない,断れない,"unrefusable, undeclinable"
watanuki,わたぬき,腸抜き,"gutting (esp. a fish), gutted fish"
watanukinotuitati,わたぬきのついたち,綿抜の朔日,"1st day of the 4th month of the lunisolar calendar"
yasurime,やすりめ,鑢目,"teeth (of a rasp)"
nareaihuuhu,なれあいふうふ,馴れ合い夫婦,"common-law couple, couple in an illicit union"
maruku,まるく,丸く,"in a circle"
kanokoami,かのこあみ,鹿の子編み,"moss stitch, pique"
nurumayunitukaru,ぬるまゆにつかる,ぬるま湯につかる,"to be comfortable, to be easy, to be relaxed, to be cosseted"
sirakumo,しらくも,白癬,"ringworm (of the scalp), tinea capitis"
tokusou,とくそう,禿瘡,"alopecia areata"
hikou,ひこう,粃糠,"bran, husks"
mainitinoyouni,まいにちのように,毎日のように,"almost every day, almost daily"
hiheiwa,ひへいわ,非平和,"peacelessness, lacking social peace"
mimokokoromo,みもこころも,身も心も,"body and soul, mind and body"
satuseisiyaku,さつせいしやく,殺精子薬,"spermicide, spermatocide"
huria,フリア,ＦＬＩＲ,"forward-looking infrared, FLIR"
kamairi,かまいり,釜煎り,"boiling to death (punishment during the Warring States period)"
touhuku,とうふく,当腹,"child born to one's current wife"
seitei,せいてい,聖帝,"virtuous emperor"
hinohakama,ひのはかま,緋の袴,"red hakama (worn by miko or noblewomen at court)"
taorukake,タオルかけ,タオル掛け,"towel rack, towel rail, towel bar, towel ring"
yusa,ゆさ,油砂,"oil sands, tar sands, bituminous sands"
huusetunoruhu,ふうせつのるふ,風説の流布,"spread of rumours (esp. to influence stock prices), spread of rumors"
otorikoukoku,おとりこうこく,おとり広告,"bait-and-switch advertising, bait-and-switch advertisement"
seri,せり,迫り,"stage elevator, trapdoor"
kikaraotitasaru,きからおちたさる,木から落ちた猿,"person who has lost something they used to rely on, a monkey fallen from the tree"
tekitaikoui,てきたいこうい,敵対行為,"hostile act"
onoono,おのおの,各々,"each"
soso,そそ,其々,"come on, hurry up, chop chop"
seirou,せいろう,井楼,"wooden watchtower, battlefield watchtower"
siotaiou,しおたいおう,塩対応,"cold reception, unwelcoming treatment"
saruo,さるお,猿尾,"backside part of the shamisen's neck where it meets the body"
sarute,さるて,猿手,"ape hand (deformity), simian hand"
sarumame,さるまめ,猿豆,"Smilax biflora var. trinervula (variety of a species of greenbrier)"
saruyama,さるやま,猿山,"hill in a monkey enclosure (at a zoo, etc.)"
moteki,モテき,モテ期,"period (of life) when one is enjoying more romantic attention than usual"
rika,りか,李下,"underneath a Japanese plum tree"
hai,はい,排,"anti-"
kiou,きおう,競ふ,"to compete, to contend, to vie"
asamara,あさマラ,朝マラ,"morning wood, morning erection"
ou,おう,墺,"Austria"
yasokai,やそかい,耶蘇会,"Society of Jesus, Jesuits"
hatunaki,はつなき,初鳴き,"first song or chirp, etc. (in the year) of a particular bird or insect species"
keihimatu,ケイヒまつ,ケイヒ末,"cinnamon powder, powdered cinnamon bark"
kakurituteki,かくりつてき,確率的,"stochastic, probabilistic"
tasikarasisa,たしからしさ,確からしさ,"probability, likelihood, chances"
tasikarasii,たしからしい,確からしい,"probable, likely"
koukasei,こうかせい,硬化性,"sclerotic"
komikomi,こみこみ,込み込み,"tax and service charge included"
hosatu,ほさつ,補殺,"assist"
seiteihou,せいていほう,制定法,"statute law"
itunarito,いつなりと,何時なりと,"(at) any time, always, at all times, whenever"
kaikou,かいこう,海口,"harbor, entrance to a harbor"
sakai,さかい,砂海,"sand sea"
isitutu,いしつつ,石槌,"sword with a stone pommel"
tikakumahi,ちかくまひ,知覚麻痺,"stupor"
tinoutesuto,ちのうテスト,知能テスト,"intelligence test, IQ test"
sirareru,しられる,知られる,"to be known"
siseki,しせき,矢石,"arrows and stones"
yaisi,やいし,矢石,"belemnite"
matatakuma,またたくま,瞬く間,"brief moment, blink of an eye (time span)"
tokusuru,とくする,督する,"to lead, to command"
yakisake,やきさけ,焼き鮭,"cooked salmon"
ooumiuma,おおうみうま,大海馬,"great seahorse (Hippocampus kelloggi), Kellogg's seahorse, offshore seahorse"
hosininaru,ほしになる,星になる,"to die, to become a star"
kei,けい,経,"warp (weaving)"
taimai,タイまい,タイ米,"Jasmine rice"
ootono,おおとの,大殿,"current master, father of one's current master"
isikika,いしきか,意識化,"conscientization, (formation of) critical consciousness"
sitikahatiretu,しちかはちれつ,七花八裂,"being torn to pieces"
naniiro,なにいろ,何色,"what color"
unura,うぬら,汝等,"ye, you"
ositoyaka,おしとやか,お淑やか,"graceful, ladylike, modest, gentle, polite, quiet, well-mannered, refined (behavior)"
o,お,御,"honorific/polite/humble prefix"
sitanohito,したのひと,下の人,"downstairs neighbour (neighbor)"
kohukiimo,こふきいも,粉吹き芋,"dish of potatoes first boiled, then spun around while fried in a bowl (making them look as if covered in powder)"
tokuteihimitu,とくていひみつ,特定秘密,"specially designated secret"
masatuti,まさつち,真砂土,"decomposed granite"
ikoukei,いこうけい,意向形,"volitional form"
youyoyaku,ようよやく,要予約,"reservation required, prior booking essential"
mitori,みとり,見取り,"perception, grasp"
sekaireki,せかいれき,世界暦,"World Calendar"
tukaimawasi,つかいまわし,使い回し,"reuse"
heyanomi,へやのみ,部屋飲み,"drinking at home"
tukiita,つきいた,突板,"sliced veneer, veneer"
saiwa,さいわ,再話,"retelling (tale, legend)"
sitanone,したのね,舌の根,"base of the tongue, root of the tongue"
mitori,みとり,看取り,"nursing, caring for the sick"
siyaniireru,しやにいれる,視野に入れる,"to consider, to eye the possibility (of), to bring into view"
sekitori,せきとり,席取り,"saving a seat (e.g. by leaving something on it), holding a seat (for a friend, etc.), reserving a place"
haiseki,はいせき,配席,"seating allocation (conference, banquet, etc.)"
keiyakunohako,けいやくのはこ,契約の箱,"Ark of the Covenant"
oohuu,おおふう,大風,"arrogant, haughty"
houkou,ほうこう,砲熕,"artillery"
okanewoorosu,おかねをおろす,お金を下ろす,"to withdraw money, to take money out"
omouyouni,おもうように,思うように,"as one wishes, the way one wants, to one's satisfaction"
motonisite,もとにして,元にして,"based on, derived from, building on, beginning with"
sakamasu,さかます,酒枡,"masu container for drinking or measuring sake"
iunari,いうなり,言うなり,"doing as one is told, yes-man"
kourei,こうれい,伉儷,"married couple, spouses, husband and wife"
namanokoe,なまのこえ,生の声,"unedited remarks, frank opinions"
katatikarahairu,かたちからはいる,形から入る,"to start with the looks, to get the trappings right as the first step, to start (at the wrong end) by focusing on the superficial"
hayaaruki,はやあるき,早歩き,"fast walking, semi-jogging"
waruikotohaiwanai,わるいことはいわない,悪いことは言わない,"I'm telling you this for your own good, here's some friendly advice"
rikaiwomotomeru,りかいをもとめる,理解を求める,"to ask for understanding"
tuminitou,つみにとう,罪に問う,"to accuse somebody, to charge someone"
koukaihakumei,こうかいはくめい,航海薄明,"nautical twilight"
tatie,たちえ,立ち絵,"drawing of a character in a standing pose (in video games)"
tosikuu,としくう,年食う,"to grow older, to advance in age, to be very aged"
tosiwokuu,としをくう,年を食う,"to grow older, to advance in age, to be very aged"
mukou,むこう,無口,"astomatous"
sousou,そうそう,淙々,"gurgling, babbling, murmuring (stream, brook, etc...)"
seisi,せいし,整枝,"training (branches in horticulture)"
tamesini,ためしに,試しに,"as a test, as an experiment, by way of experiment, by way of trial, tentatively"
aresiki,あれしき,彼式,"so trifling, so trivial"
sisutemuka,システムか,システム化,"systematisation, systematization"
hamana,はまな,浜菜,"sea kale (Crambe maritima)"
humou,ふもう,誣罔,"slander"
kakou,かこう,仮構,"fiction, fabrication, concoction, invention"
takoito,たこいと,凧糸,"kite string"
taiyou,たいよう,大妖,"great demon, ghostly giant"
kimotiwokumu,きもちをくむ,気持ちを汲む,"to consider others' feelings, to sympathize with somebody's feelings"
satooyakai,さとおやかい,里親会,"adoption event for homeless animals"
isikitakaikei,いしきたかいけい,意識高い系,"person who is overly conscious about appearing interesting (esp. online)"
tutuki,つつき,突き,"pecking, poking, picking"
totusaitekika,とつさいてきか,凸最適化,"convex optimization"
ninuki,にぬき,煮抜き,"hard-boiled egg"
saika,さいか,採火,"lighting a sacred flame by the light of the Sun"
harikomi,はりこみ,貼り込み,"paste-up, collage"
kikou,きこう,貴行,"(your) bank"
harutumi,はるつみ,春摘み,"spring picking, first flush (tea)"
asinose,あしのせ,足乗せ,"footstool"
hasamiwoireru,ハサミをいれる,ハサミを入れる,"to cut with scissors, to put scissors to, to punch (e.g. ticket), to prune (e.g. shrub)"
roto,ろと,露都,"the Russian capital (i.e. Moscow)"
amaama,あまあま,甘々,"sweet, sugary"
kieyuku,きえゆく,消えゆく,"to gradually disappear, to be vanishing"
otuyu,おつゆ,お汁,"broth, soup (esp. miso soup)"
kokoronoiro,こころのいろ,心の色,"one's emotional state, one's mood"
oosakatokousou,おおさかとこうそう,大阪都構想,"Osaka Metropolis plan"
sarasinako,さらしなこ,更科粉,"high-quality buckwheat flour (made only using the center of the grain)"
sumimune,すみむね,隅棟,"hip (of roof)"
torameisi,とらめいし,虎目石,"tigereye, tiger's-eye"
hasaki,はさき,葉先,"leaf apex, tip of the leaf"
houtekisoti,ほうてきそち,法的措置,"legal action"
seikisei,せいきせい,正規生,"regular student (undergraduate or graduate)"
hiseikisei,ひせいきせい,非正規生,"exchange or research student (as opposed to regular undergraduate or graduate)"
tenotukerarenai,てのつけられない,手のつけられない,"out of control, out of hand, unmanageable"
haiti,はいち,廃置,"abolishing and establishing"
karetaki,かれたき,枯滝,"dried up waterfall, dry waterfall"
kokoronotake,こころのたけ,心のたけ,"one's mind, one's thoughts, one's heart"
manekiyoseru,まねきよせる,招き寄せる,"to gesture to come closer, to beckon, to call, to summon"
itimeiwotoritomeru,いちめいをとりとめる,一命を取り留める,"to escape death, to be saved from death"
kanewootosu,かねをおとす,金を落とす,"to lose money"
yoruyou,よるよう,夜用,"nighttime use, overnight"
hikakuka,ひかくか,非核化,"denuclearization, denuclearisation"
titiou,ちちおう,父王,"king who is a father"
kotokomayaka,ことこまやか,事細やか,"detailed, minute"
kotokomakai,ことこまかい,事細かい,"detailed, minute, articulate"
saiketuhou,さいけつほう,採血法,"blood collection method, blood sampling"
yusoukeitai,ゆそうけいたい,輸送形態,"form of transport, mode of transport"
hitokotoooi,ひとことおおい,一言多い,"saying too much"
wakoto,わこと,我事,"wife, bride"
otukare,おつかれ,お疲れ,"thanks (e.g. for coming, helping, etc.), glad you could make it"
meikuotosi,メイクおとし,メイク落とし,"makeup remover"
huou,ふおう,不応,"refractory"
si,し,支,"China"
aimukai,あいむかい,相向かい,"facing, across from, opposite, facing each other"
housi,ほうし,褒詞,"praise, eulogy"
huueitekiseikahou,ふうえいてきせいかほう,風営適正化法,"Law Regulating Adult Entertainment Businesses"
huueihou,ふうえいほう,風営法,"Law Regulating Adult Entertainment Businesses"
roheki,ろへき,炉壁,"furnace wall"
tukikomu,つきこむ,突き込む,"to thrust (something) into (something), to cram, to stuff, to shove"
